,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
ter,"(1, 6)","(5, 1)","(6, 1)","(8, 1)","(11, 3)","(13, 2)","(20, 1)","(25, 3)","(26, 1)","(30, 3)","(50, 1)","(52, 3)","(54, 2)","(57, 1)","(58, 1)","(61, 1)","(64, 1)","(68, 2)","(74, 1)","(81, 1)","(83, 1)","(87, 1)","(95, 1)","(100, 2)","(109, 1)","(122, 1)","(129, 1)","(132, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adpf,"(1, 1)","(39, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
início,"(1, 1)","(8, 1)","(17, 1)","(50, 1)","(55, 1)","(57, 1)","(58, 1)","(59, 2)","(66, 1)","(75, 2)","(107, 1)","(111, 1)","(112, 1)","(123, 1)","(127, 1)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicar,"(1, 1)","(68, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quer,"(1, 1)","(19, 1)","(21, 2)","(22, 1)","(25, 3)","(30, 4)","(51, 1)","(63, 1)","(86, 2)","(108, 1)","(114, 1)","(125, 1)","(126, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vazaram,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superior,"(1, 1)","(11, 1)","(57, 1)","(103, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quais,"(1, 1)","(10, 1)","(17, 2)","(30, 1)","(69, 1)","(112, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ganhasse,"(1, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paraná,"(1, 1)","(8, 2)","(10, 4)","(22, 1)","(26, 1)","(87, 1)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ato,"(1, 1)","(6, 4)","(11, 5)","(19, 2)","(23, 1)","(26, 2)","(46, 1)","(75, 1)","(104, 3)","(129, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjuntura,"(1, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juntando,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prisão,"(1, 4)","(6, 2)","(10, 1)","(11, 1)","(18, 2)","(19, 4)","(20, 2)","(21, 1)","(22, 4)","(25, 2)","(26, 1)","(63, 1)","(86, 6)","(92, 2)","(94, 1)","(101, 2)","(102, 3)","(104, 1)","(106, 2)","(126, 1)","(128, 1)","(129, 4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acordos,"(1, 2)","(39, 1)","(48, 2)","(108, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outra,"(1, 1)","(6, 1)","(8, 1)","(13, 1)","(25, 1)","(34, 1)","(40, 1)","(46, 1)","(69, 1)","(72, 1)","(110, 1)","(116, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mês,"(1, 1)","(10, 1)","(20, 1)","(33, 1)","(34, 1)","(46, 2)","(47, 1)","(48, 1)","(50, 3)","(57, 1)","(58, 2)","(59, 1)","(64, 1)","(70, 1)","(107, 1)","(119, 1)","(120, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fazerem,"(1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajufe,"(1, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
série,"(1, 1)","(11, 1)","(52, 1)","(54, 1)","(98, 1)","(123, 1)","(125, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicação,"(1, 1)","(64, 1)","(90, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liberdades,"(1, 1)","(35, 2)","(122, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
